y,P
0.92995,0.184
0.93262,0.18348
0.93529,0.18298
0.93796,0.18247
0.94063,0.18198
0.9433,0.18109
0.94596,0.18055
0.94863,0.18002
0.9513,0.17947
0.95397,0.17889
0.95664,0.17833
0.95931,0.17779
0.96197,0.17725
0.96464,0.1767
0.96731,0.17618
0.96998,0.17564
0.97265,0.17508
0.97532,0.17451
0.97799,0.17394
0.98065,0.17336
0.98332,0.17277
0.98599,0.17219
0.98866,0.17161
0.99133,0.17102
0.994,0.17044
0.99666,0.16987
0.99933,0.16929
1.002,0.16871
1.0047,0.16812
1.0073,0.16791
1.01,0.16696
1.0127,0.16635
1.0153,0.16574
1.018,0.16512
1.0207,0.16453
1.0233,0.16393
1.026,0.16334
1.0287,0.16273
1.0314,0.16247
1.034,0.16155
1.0367,0.16097
1.0394,0.16037
1.042,0.15976
1.0447,0.15915
1.0474,0.15854
1.05,0.15793
1.0527,0.15764
1.0554,0.15705
1.058,0.15645
1.0607,0.15587
1.0634,0.15493
1.066,0.15434
1.0687,0.15375
1.0714,0.15316
1.074,0.1526
1.0767,0.152
1.0794,0.15139
1.0821,0.15079
1.0847,0.15018
1.0874,0.14959
1.0901,0.149
1.0927,0.14841
1.0954,0.14782
1.0981,0.14722
1.1007,0.14662
1.1034,0.14602
1.1061,0.14545
1.1087,0.14486
1.1114,0.14427
1.1141,0.14368
1.1167,0.14309
1.1194,0.14251
1.1221,0.14193
1.1247,0.14136
1.1274,0.14079
1.1301,0.14021
1.1328,0.13962
1.1354,0.13903
1.1381,0.13845
1.1408,0.13788
1.1434,0.13731
1.1461,0.13674
1.1488,0.13615
1.1514,0.13557
1.1541,0.13499
1.1568,0.13442
1.1594,0.13386
1.1621,0.1333
1.1648,0.13274
1.1674,0.13217
1.1701,0.13192
1.1728,0.13135
1.1755,0.13053
1.1781,0.12997
1.1808,0.12941
1.1835,0.12885
1.1861,0.12829
1.1888,0.12774
1.1915,0.12719
1.1941,0.12664
1.1968,0.12613
1.1995,0.12559
1.2021,0.12506
1.2048,0.12479
1.2075,0.12399
1.2101,0.12344
1.2128,0.12289
1.2155,0.12234
1.2181,0.12179
1.2208,0.12124
1.2235,0.1207
1.2262,0.12016
1.2288,0.11958
1.2315,0.11907
1.2342,0.11856
1.2368,0.11804
1.2395,0.11753
1.2422,0.11701
1.2448,0.11651
1.2475,0.11601
1.2502,0.11551
1.2528,0.11501
1.2555,0.1145
1.2582,0.11398
1.2608,0.11347
1.2635,0.11298
1.2662,0.11249
1.2688,0.112
1.2715,0.1115
1.2742,0.11099
1.2769,0.11048
1.2795,0.11022
1.2822,0.10973
1.2849,0.10925
1.2875,0.10855
1.2902,0.10806
1.2929,0.10757
1.2955,0.10708
1.2982,0.10661
1.3009,0.10614
1.3035,0.10565
1.3062,0.10517
1.3089,0.10471
1.3115,0.10424
1.3142,0.10378
1.3169,0.10332
1.3195,0.10285
1.3222,0.10238
1.3249,0.10191
1.3276,0.10147
1.3302,0.10102
1.3329,0.10057
1.3356,0.10012
1.3382,0.099668
1.3409,0.099217
1.3436,0.098765
