y,U,UpUp,V,VpVp,Pxx,Pyy
1.1261,1.232,0.0011142,-0.053242,0.0019164,0.00029028,0.00029366
1.1277,1.2316,0.001111,-0.053072,0.0019086,0.00028887,0.00029147
1.1293,1.2313,0.0011075,-0.052903,0.0019008,0.00028748,0.00028925
1.1309,1.231,0.0011045,-0.052733,0.0018922,0.000286,0.00028708
1.1325,1.2306,0.0011016,-0.052564,0.0018832,0.00028448,0.00028497
1.1341,1.2303,0.0010986,-0.052395,0.0018742,0.00028298,0.00028284
1.1357,1.23,0.0010953,-0.052227,0.0018651,0.00028149,0.00028069
1.1373,1.2297,0.0010919,-0.052058,0.001856,0.00028003,0.00027851
1.1389,1.2293,0.0010886,-0.051891,0.0018488,0.0002787,0.00027644
1.1405,1.229,0.0010851,-0.051725,0.0018417,0.0002774,0.00027435
1.1421,1.2287,0.0010815,-0.05156,0.0018343,0.00027607,0.00027231
1.1437,1.2284,0.0010784,-0.051399,0.0018261,0.00027456,0.00027053
1.1453,1.2281,0.001075,-0.051238,0.0018178,0.00027307,0.00026873
1.1469,1.2277,0.0010716,-0.051076,0.0018095,0.00027162,0.00026685
1.1485,1.2274,0.0010686,-0.05091,0.0018016,0.00027028,0.00026482
1.1501,1.2271,0.0010654,-0.050744,0.0017935,0.00026896,0.00026277
1.1517,1.2268,0.001062,-0.050579,0.0017855,0.00026766,0.00026069
1.1533,1.2265,0.0010591,-0.050415,0.0017774,0.00026629,0.00025878
1.1549,1.2261,0.0010565,-0.050253,0.0017694,0.00026489,0.00025696
1.1565,1.2258,0.0010536,-0.050091,0.0017613,0.0002635,0.00025512
1.1581,1.2255,0.0010506,-0.04993,0.0017535,0.00026216,0.00025328
1.1597,1.2252,0.0010472,-0.04977,0.0017463,0.00026088,0.00025144
1.1613,1.2249,0.0010437,-0.049609,0.001739,0.00025962,0.00024958
1.1629,1.2246,0.00104,-0.049449,0.0017317,0.00025837,0.0002477
1.1645,1.2242,0.0010378,-0.049287,0.0017243,0.00025709,0.00024589
1.1661,1.2239,0.0010355,-0.049126,0.001717,0.00025581,0.00024409
1.1677,1.2236,0.0010331,-0.048965,0.0017095,0.00025454,0.00024228
